Year,N,Location
1500,0,Continent
1525,0,Continent
1550,0,Continent
1575,0,Continent
1600,0,Continent
1625,0,Continent
1650,0,Continent
1675,0,Continent
1700,0,Continent
1725,0,Continent
1750,0,Continent
1775,0,Continent
1800,1,Continent
1825,0,Continent
1850,2,Continent
1875,1,Continent
1900,3,Continent
1925,1,Continent
1950,2,Continent
1975,6,Continent
2000,0,Continent
1500,6,Island
1525,0,Island
1550,0,Island
1575,0,Island
1600,4,Island
1625,0,Island
1650,7,Island
1675,7,Island
1700,2,Island
1725,8,Island
1750,9,Island
1775,9,Island
1800,5,Island
1825,12,Island
1850,10,Island
1875,18,Island
1900,19,Island
1925,14,Island
1950,13,Island
1975,19,Island
2000,4,Island