Year,Spec_Abund,Spec_Abund_5_CI,Spec_Abund_95_CI,Gen_Abund,Gen_Abund_5_CI,Gen_Abund_95_CI
1976,57.66,50.93,64.39,72.35,60.18,84.53
1977,53.11,47.65,58.57,73.09,62.25,83.93
1978,48.99,44.37,53.61,73.85,64.14,83.55
1979,45.47,41.31,49.62,74.63,65.85,83.41
1980,42.65,38.70,46.60,75.43,67.37,83.49
1981,40.58,36.70,44.46,76.24,68.72,83.77
1982,39.28,35.41,43.14,77.04,69.89,84.19
1983,38.57,34.71,42.44,77.79,70.88,84.70
1984,38.31,34.45,42.17,78.47,71.72,85.23
1985,38.29,34.43,42.14,79.08,72.40,85.75
1986,38.43,34.59,42.27,79.61,72.97,86.24
1987,38.71,34.88,42.53,80.08,73.45,86.70
1988,39.06,35.25,42.87,80.48,73.87,87.10
1989,39.48,35.68,43.28,80.82,74.20,87.43
1990,39.92,36.12,43.71,81.05,74.43,87.66
1991,40.28,36.49,44.07,81.15,74.53,87.76
1992,40.53,36.75,44.32,81.11,74.50,87.72
1993,40.60,36.81,44.38,80.92,74.32,87.53
1994,40.47,36.69,44.26,80.61,74.01,87.21
1995,40.14,36.35,43.93,80.18,73.59,86.77
1996,39.60,35.82,43.39,79.63,73.05,86.21
1997,38.91,35.12,42.69,78.97,72.39,85.54
1998,38.15,34.36,41.93,78.20,71.63,84.78
1999,37.46,33.67,41.24,77.38,70.80,83.95
2000,36.91,33.12,40.70,76.52,69.94,83.09
2001,36.53,32.74,40.31,75.64,69.06,82.23
2002,36.30,32.51,40.08,74.78,68.19,81.37
2003,36.19,32.40,39.98,73.93,67.33,80.53
2004,36.12,32.34,39.91,73.10,66.50,79.71
2005,36.01,32.23,39.80,72.31,65.70,78.92
2006,35.83,32.04,39.62,71.57,64.95,78.18
2007,35.58,31.78,39.37,70.90,64.29,77.52
2008,35.34,31.54,39.14,70.33,63.71,76.95
2009,35.16,31.35,38.97,69.86,63.24,76.48
2010,35.00,31.17,38.82,69.48,62.86,76.10
2011,34.79,30.96,38.63,69.20,62.56,75.84
2012,34.58,30.73,38.44,69.01,62.33,75.68
2013,34.50,30.63,38.36,68.91,62.15,75.67
2014,34.54,30.68,38.41,68.88,61.97,75.79
2015,34.74,30.88,38.61,68.92,61.76,76.08
2016,35.15,31.27,39.03,69.01,61.47,76.55
2017,35.79,31.84,39.74,69.15,61.07,77.23
2018,36.63,32.46,40.79,69.32,60.52,78.12
2019,37.54,32.90,42.18,69.49,59.76,79.22
2020,38.48,32.99,43.97,69.65,58.78,80.52
2021,39.42,32.64,46.19,69.81,57.60,82.03